Waste type,Month,Value,Source_Sheet
Wet waste,Hostel no -28,12,March2025
Dry waste,Hostel no -28,4,March2025
TOTAL (Kg),Hostel no -28,16,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,12,March2025
Dry waste,Hostel no -28,4,March2025
TOTAL (Kg),Hostel no -28,16,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,15,March2025
Dry waste,Hostel no -28,10,March2025
TOTAL (Kg),Hostel no -28,25,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,17,March2025
Dry waste,Hostel no -28,5,March2025
TOTAL (Kg),Hostel no -28,22,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,20,March2025
Dry waste,Hostel no -28,8,March2025
TOTAL (Kg),Hostel no -28,28,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,17.5,March2025
Dry waste,Hostel no -28,10,March2025
TOTAL (Kg),Hostel no -28,27.5,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,10,March2025
Dry waste,Hostel no -28,20,March2025
TOTAL (Kg),Hostel no -28,30,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,25,March2025
Dry waste,Hostel no -28,8,March2025
TOTAL (Kg),Hostel no -28,33,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,15,March2025
Dry waste,Hostel no -28,8,March2025
TOTAL (Kg),Hostel no -28,23,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,25,March2025
Dry waste,Hostel no -28,10,March2025
TOTAL (Kg),Hostel no -28,35,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,16,March2025
Dry waste,Hostel no -28,8,March2025
TOTAL (Kg),Hostel no -28,24,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,20,March2025
Dry waste,Hostel no -28,10,March2025
TOTAL (Kg),Hostel no -28,30,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,20,March2025
Dry waste,Hostel no -28,10,March2025
TOTAL (Kg),Hostel no -28,30,March2025
Wet waste,Hostel no -29,5,March2025
Dry waste,Hostel no -29,21,March2025
TOTAL (Kg),Hostel no -29,26,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,7,March2025
Dry waste,Hostel no -29,14,March2025
TOTAL (Kg),Hostel no -29,21,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,2.88,March2025
Dry waste,Hostel no -29,7.4,March2025
TOTAL (Kg),Hostel no -29,10.28,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,7.35,March2025
Dry waste,Hostel no -29,12.86,March2025
TOTAL (Kg),Hostel no -29,20.21,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,3.75,March2025
Dry waste,Hostel no -29,11.9,March2025
TOTAL (Kg),Hostel no -29,15.65,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,3.89,March2025
Dry waste,Hostel no -29,14.98,March2025
TOTAL (Kg),Hostel no -29,18.87,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,6,March2025
Dry waste,Hostel no -29,9,March2025
TOTAL (Kg),Hostel no -29,15,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,7.35,March2025
Dry waste,Hostel no -29,12.86,March2025
TOTAL (Kg),Hostel no -29,20.21,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,6,March2025
Dry waste,Hostel no -29,9,March2025
TOTAL (Kg),Hostel no -29,15,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,10.3,March2025
Dry waste,Hostel no -29,0,March2025
TOTAL (Kg),Hostel no -29,10.3,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,10.3,March2025
Dry waste,Hostel no -29,0,March2025
TOTAL (Kg),Hostel no -29,0,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,18,March2025
Dry waste,Hostel no -29,8,March2025
TOTAL (Kg),Hostel no -29,26,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,10.4,March2025
Dry waste,Hostel no -29,0,March2025
TOTAL (Kg),Hostel no -29,10.4,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,10.4,March2025
Dry waste,Hostel no -29,9,March2025
TOTAL (Kg),Hostel no -29,19.4,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,17,March2025
Dry waste,Hostel no -29,6.5,March2025
TOTAL (Kg),Hostel no -29,23.5,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,27,March2025
Dry waste,Hostel no -29,0,March2025
TOTAL (Kg),Hostel no -29,27,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,14.5,March2025
Dry waste,Hostel no -29,5,March2025
TOTAL (Kg),Hostel no -29,19.5,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,18.3,March2025
Dry waste,Hostel no -29,0,March2025
TOTAL (Kg),Hostel no -29,18.3,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,20,March2025
Dry waste,Hostel no -29,0,March2025
TOTAL (Kg),Hostel no -29,20,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,15,March2025
Dry waste,Hostel no -29,9.5,March2025
TOTAL (Kg),Hostel no -29,24.5,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,16,March2025
Dry waste,Hostel no -29,10,March2025
TOTAL (Kg),Hostel no -29,26,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,14.2,March2025
Dry waste,Hostel no -29,0,March2025
TOTAL (Kg),Hostel no -29,14.2,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,17.4,March2025
Dry waste,Hostel no -29,17,March2025
TOTAL (Kg),Hostel no -29,34.4,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,12.5,March2025
Dry waste,Hostel no -29,0,March2025
TOTAL (Kg),Hostel no -29,12.5,March2025
Waste type,Hostel no -29,Hostel no -29,March2025
Wet waste,Hostel no -29,13.3,March2025
Dry waste,Hostel no -29,8,March2025
TOTAL (Kg),Hostel no -29,21.3,March2025
Wet waste,Hostel no -30,6,March2025
Dry waste,Hostel no -30,11,March2025
TOTAL (Kg),Hostel no -30,17,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,4,March2025
Dry waste,Hostel no -30,12,March2025
TOTAL (Kg),Hostel no -30,16,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,4.2,March2025
Dry waste,Hostel no -30,14.4,March2025
TOTAL (Kg),Hostel no -30,18.6,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,3,March2025
Dry waste,Hostel no -30,11.88,March2025
TOTAL (Kg),Hostel no -30,14.88,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,2.24,March2025
Dry waste,Hostel no -30,9.98,March2025
TOTAL (Kg),Hostel no -30,12.22,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,3.1,March2025
Dry waste,Hostel no -30,8.88,March2025
TOTAL (Kg),Hostel no -30,11.98,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,4,March2025
Dry waste,Hostel no -30,17,March2025
TOTAL (Kg),Hostel no -30,21,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,3,March2025
Dry waste,Hostel no -30,11.88,March2025
TOTAL (Kg),Hostel no -30,14.88,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,4,March2025
Dry waste,Hostel no -30,17,March2025
TOTAL (Kg),Hostel no -30,21,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,22.3,March2025
Dry waste,Hostel no -30,0,March2025
TOTAL (Kg),Hostel no -30,22.3,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,22.3,March2025
Dry waste,Hostel no -30,0,March2025
TOTAL (Kg),Hostel no -30,0,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,32.3,March2025
Dry waste,Hostel no -30,10,March2025
TOTAL (Kg),Hostel no -30,42.3,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,22.3,March2025
Dry waste,Hostel no -30,0,March2025
TOTAL (Kg),Hostel no -30,22.3,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,22.3,March2025
Dry waste,Hostel no -30,10,March2025
TOTAL (Kg),Hostel no -30,32.3,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,16,March2025
Dry waste,Hostel no -30,7.5,March2025
TOTAL (Kg),Hostel no -30,23.5,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,16,March2025
Dry waste,Hostel no -30,0,March2025
TOTAL (Kg),Hostel no -30,16,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,12.5,March2025
Dry waste,Hostel no -30,6,March2025
TOTAL (Kg),Hostel no -30,18.5,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,14.5,March2025
Dry waste,Hostel no -30,0,March2025
TOTAL (Kg),Hostel no -30,14.5,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,14,March2025
Dry waste,Hostel no -30,0,March2025
TOTAL (Kg),Hostel no -30,14,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,17,March2025
Dry waste,Hostel no -30,4.5,March2025
TOTAL (Kg),Hostel no -30,21.5,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,30,March2025
Dry waste,Hostel no -30,9,March2025
TOTAL (Kg),Hostel no -30,39,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,36.4,March2025
Dry waste,Hostel no -30,0,March2025
TOTAL (Kg),Hostel no -30,36.4,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,32.7,March2025
Dry waste,Hostel no -30,18,March2025
TOTAL (Kg),Hostel no -30,50.7,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,20.8,March2025
Dry waste,Hostel no -30,0,March2025
TOTAL (Kg),Hostel no -30,20.8,March2025
Waste type,Hostel no -30,Hostel no -30,March2025
Wet waste,Hostel no -30,29.9,March2025
Dry waste,Hostel no -30,9,March2025
TOTAL (Kg),Hostel no -30,38.9,March2025
Wet waste,cantean,25,March2025
Dry waste,cantean,3,March2025
TOTAL (Kg),cantean,28,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,23,March2025
Dry waste,cantean,3,March2025
TOTAL (Kg),cantean,26,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,7,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,9,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,25,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,27,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,8,March2025
Dry waste,cantean,0,March2025
TOTAL (Kg),cantean,8,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,8,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,10,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,8,March2025
Dry waste,cantean,0,March2025
TOTAL (Kg),cantean,8,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,25,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,27,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,8,March2025
Dry waste,cantean,0,March2025
TOTAL (Kg),cantean,8,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,24,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,26,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,24,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,2,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,20,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,21,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,17,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,19,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,19,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,21,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,17,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,19,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,19,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,20,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,19,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,20,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,20,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,21,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,25,March2025
Dry waste,cantean,2,March2025
TOTAL (Kg),cantean,27,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,26,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,27,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,27,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,28,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,29,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,30,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,30,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,31,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,26,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,27,March2025
Waste type,cantean,cantean,March2025
Wet waste,cantean,29,March2025
Dry waste,cantean,1,March2025
TOTAL (Kg),cantean,30,March2025
Wet waste,MESS,80,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,80,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,88,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,88,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,89,March2025
Dry waste,MESS,2,March2025
TOTAL (Kg),MESS,91,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,90,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,90,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,80,March2025
Dry waste,MESS,2,March2025
TOTAL (Kg),MESS,82,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,28,March2025
Dry waste,MESS,2,March2025
TOTAL (Kg),MESS,30,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,20,March2025
Dry waste,MESS,1,March2025
TOTAL (Kg),MESS,21,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,80,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,80,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,70,March2025
Dry waste,MESS,1,March2025
TOTAL (Kg),MESS,71,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,86,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,86,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,86,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,0,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,79,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,79,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,80,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,80,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,89,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,89,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,87,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,87,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,88,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,88,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,70,March2025
Dry waste,MESS,1,March2025
TOTAL (Kg),MESS,71,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,86,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,86,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,80,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,80,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,79,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,79,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,80,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,80,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,89,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,89,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,87,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,87,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,88,March2025
Dry waste,MESS,0,March2025
TOTAL (Kg),MESS,88,March2025
Waste type,MESS,MESS,March2025
Wet waste,MESS,78,March2025
Dry waste,MESS,1,March2025
TOTAL (Kg),MESS,79,March2025
Wet waste,A&B Block,60,Apr2025
Dry waste,A&B Block,18,Apr2025
TOTAL (Kg),A&B Block,78,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,27,Apr2025
Dry waste,A&B Block,7,Apr2025
TOTAL (Kg),A&B Block,34,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,42,Apr2025
Dry waste,A&B Block,16,Apr2025
TOTAL (Kg),A&B Block,58,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,64,Apr2025
Dry waste,A&B Block,50,Apr2025
TOTAL (Kg),A&B Block,114,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,74,Apr2025
Dry waste,A&B Block,32,Apr2025
TOTAL (Kg),A&B Block,106,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,93,Apr2025
Dry waste,A&B Block,52,Apr2025
TOTAL (Kg),A&B Block,145,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,71,Apr2025
Dry waste,A&B Block,31,Apr2025
TOTAL (Kg),A&B Block,102,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,60,Apr2025
Dry waste,A&B Block,34,Apr2025
TOTAL (Kg),A&B Block,94,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,32,Apr2025
Dry waste,A&B Block,10,Apr2025
TOTAL (Kg),A&B Block,42,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,82,Apr2025
Dry waste,A&B Block,40,Apr2025
TOTAL (Kg),A&B Block,122,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,82,Apr2025
Dry waste,A&B Block,31,Apr2025
TOTAL (Kg),A&B Block,113,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,60,Apr2025
Dry waste,A&B Block,44,Apr2025
TOTAL (Kg),A&B Block,104,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,74,Apr2025
Dry waste,A&B Block,32,Apr2025
TOTAL (Kg),A&B Block,106,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,70,Apr2025
Dry waste,A&B Block,30,Apr2025
TOTAL (Kg),A&B Block,100,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,35,Apr2025
Dry waste,A&B Block,12,Apr2025
TOTAL (Kg),A&B Block,47,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,52,Apr2025
Dry waste,A&B Block,18,Apr2025
TOTAL (Kg),A&B Block,70,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,30,Apr2025
Dry waste,A&B Block,15,Apr2025
TOTAL (Kg),A&B Block,45,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,53,Apr2025
Dry waste,A&B Block,31,Apr2025
TOTAL (Kg),A&B Block,84,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,33,Apr2025
Dry waste,A&B Block,11,Apr2025
TOTAL (Kg),A&B Block,44,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,29,Apr2025
Dry waste,A&B Block,10,Apr2025
TOTAL (Kg),A&B Block,39,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,68,Apr2025
Dry waste,A&B Block,27,Apr2025
TOTAL (Kg),A&B Block,95,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,42,Apr2025
Dry waste,A&B Block,19,Apr2025
TOTAL (Kg),A&B Block,61,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,24,Apr2025
Dry waste,A&B Block,11,Apr2025
TOTAL (Kg),A&B Block,35,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,83,Apr2025
Dry waste,A&B Block,40,Apr2025
TOTAL (Kg),A&B Block,123,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,20,Apr2025
Dry waste,A&B Block,8,Apr2025
TOTAL (Kg),A&B Block,28,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,54,Apr2025
Dry waste,A&B Block,23,Apr2025
TOTAL (Kg),A&B Block,77,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,60,Apr2025
Dry waste,A&B Block,35,Apr2025
TOTAL (Kg),A&B Block,95,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,41,Apr2025
Dry waste,A&B Block,16,Apr2025
TOTAL (Kg),A&B Block,57,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,60,Apr2025
Dry waste,A&B Block,35,Apr2025
TOTAL (Kg),A&B Block,95,Apr2025
Waste type,A&B Block,A&B Block,Apr2025
Wet waste,A&B Block,20,Apr2025
Dry waste,A&B Block,8,Apr2025
TOTAL (Kg),A&B Block,28,Apr2025
Wet waste,C&D Block,31.4,Apr2025
Dry waste,C&D Block,18,Apr2025
TOTAL (Kg),C&D Block,49.4,Apr2025
Waste type,C&D Block,C&D Block,Apr2025
Wet waste,C&D Block,31.4,Apr2025
